id,brand,model_name,segment,cost_price,retail_price,margin,margin_pct,launch_week,lifecycle_stage,markdown_percentage,successor_product_id,expected_successor_week,launch_confidence,is_rumoured
PROD_001,Nova,Nova Go 4G,Budget,6500.0,7800.0,1300.0,0.1667,10,Peak,0.0,,,1.0,False
PROD_002,Nova,Nova Go 5G,Budget,8500.0,10200.0,1700.0,0.1667,25,Growth,0.0,,,1.0,False
PROD_003,Apex,Apex Lite 10,Budget,7200.0,8700.0,1500.0,0.1724,1,Decline,0.12,PROD_004,22.0,1.0,False
PROD_004,Apex,Apex Lite 11,Budget,7800.0,9400.0,1600.0,0.1702,42,Launch,0.0,,,1.0,False
PROD_005,Vortex,Vortex Spark A1,Budget,5800.0,6900.0,1100.0,0.1594,-15,EOL,0.28,PROD_006,15.0,1.0,False
PROD_006,Vortex,Vortex Spark A2,Budget,6200.0,7500.0,1300.0,0.1733,10,Peak,0.0,,,1.0,False
PROD_007,Aura,Aura Play 3,Budget,9000.0,10900.0,1900.0,0.1743,10,Peak,0.0,,,1.0,False
PROD_008,Zenith,Zenith C1,Budget,9500.0,11500.0,2000.0,0.1739,25,Growth,0.0,,,1.0,False
PROD_009,Titan,Titan Mini 1,Budget,11000.0,13400.0,2400.0,0.1791,10,Peak,0.0,,,1.0,False
PROD_010,Nova,Nova Go Max,Budget,12000.0,14600.0,2600.0,0.1781,25,Growth,0.0,,,1.0,False
PROD_011,Vortex,Vortex Spark Pro,Budget,10500.0,12800.0,2300.0,0.1797,1,Decline,0.12,PROD_012,30.0,0.65,True
PROD_012,Vortex,Vortex Spark Pro 2,Budget,11200.0,13700.0,2500.0,0.1825,42,Launch,0.0,,,0.65,True
PROD_013,Apex,Apex Lite Prime,Budget,8200.0,9900.0,1700.0,0.1717,10,Peak,0.0,,,1.0,False
PROD_014,Zenith,Zenith C2,Budget,10200.0,12400.0,2200.0,0.1774,25,Growth,0.0,,,1.0,False
PROD_015,Aura,Aura Play 4,Budget,9800.0,11900.0,2100.0,0.1765,42,Launch,0.0,,,1.0,False
